,date,DOHOL,THYAO
621,2020-01-17 12:53:23.430000050,1.0,1.0
622,2020-01-17 13:06:05.785000010,-1.0,0.0
623,2020-01-17 13:07:06.449000020,1.0,1.0
624,2020-01-17 16:14:23.923000150,-1.0,-1.0
625,2020-01-17 16:15:15.242000050,1.0,1.0
626,2020-01-17 16:15:30.548000010,-1.0,0.0
627,2020-01-17 16:16:13.927000240,1.0,0.0
628,2020-01-17 16:16:20.106000020,-1.0,0.0
629,2020-01-17 16:16:47.104000010,1.0,0.0
630,2020-01-17 16:16:50.259000040,-1.0,-1.0
631,2020-01-17 16:19:25.254000010,1.0,0.0
632,2020-01-17 16:19:37.082000040,-1.0,-1.0
633,2020-01-17 16:44:51.217000020,1.0,0.0
